Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Diffusion tensor imaging,,A form of magnetic resonance imaging that maps the diffusion of water molecules in brain tissue to visualize white matter tracts and structural connectivity.,Diffusion Tensor Imaging,,,,DTI,,,,,,,white matter,MRI,tractography,brain connectivity,diffusion MRI,Fractional Anisotropy,Myelin,Connectome
Diencephalon,,"A region of the forebrain that includes structures such as the thalamus and hypothalamus. It plays a role in sensory relay, autonomic function, and endocrine regulation.",Diencephalon,,,,,,,,,diencephalic,,thalamus,hypothalamus,forebrain,sensory relay,endocrine regulation,Pituitary gland,Third ventricle,Limbic system
Diffuse axonal injury,,"A form of traumatic brain injury where widespread lesions in white matter tracts occur due to rapid acceleration or deceleration, commonly associated with concussions and coma.",Diffuse Axonal Injury,,,,DAI,,,,,,,traumatic brain injury,white matter,concussion,coma,axonal damage,Shear injury,Wallerian degeneration,Chronic Traumatic Encephalopathy
Dissociation (neuropsychology),,"A situation where one cognitive function is impaired while another is preserved, often used to infer the independence of brain processes or structures.",Brain Mapping,cognitive dissociation,,,,,,dissociation,dissociate,,,cognitive function,neuropsychology,brain lesion,functional independence,double dissociation,Single dissociation,Agnosia,Modularity of Mind
Dizygotic twins,,Also known as fraternal twins; twins that result from two separate eggs fertilized by two different sperm. Used in genetic studies to explore heritability in neurological traits.,"Twins, Dizygotic",fraternal twins,non-identical twins,,DZ,,,,,dizygotic,,twin studies,heritability,genetics,behavioral genetics,monozygotic twins,Concordance rate,Gene-environment interaction,Shared environment
Dopamine,,"A neurotransmitter involved in reward, motivation, motor control, and mood regulation. Imbalances are associated with disorders such as Parkinson's disease, schizophrenia, and addiction.",Dopamine,,,,DA,,,,,dopaminergic,,neurotransmitter,reward system,Parkinson's disease,basal ganglia,substantia nigra,Schizophrenia,Addiction,Ventral Tegmental Area
Dorsal column–medial lemniscus pathway,Dorsal column-medial lemniscus pathway,"A sensory pathway of the spinal cord that conveys fine touch, vibration, and proprioceptive information to the brain.",Neural Pathways,DCML pathway,dorsal column pathway,,DCML,,,,,,,proprioception,fine touch,vibration sense,sensory pathway,spinal cord,Stereognosis,Medial lemniscus,Fasciculus cuneatus
Dorsal horn,,A region in the gray matter of the spinal cord that receives and processes incoming sensory information from peripheral nerves.,Spinal Cord Dorsal Horn,posterior horn,,,,,,,,,,spinal cord,gray matter,sensory processing,nociception,dorsal root ganglion,Rexed laminae,spinothalamic tract,Substance P
Dorsal root ganglion,,"A cluster of sensory neuron cell bodies located just outside the spinal cord, which transmit sensory signals to the central nervous system.","Ganglia, Spinal",spinal ganglion,,,DRG,,,ganglion,,,,sensory neuron,spinal cord,peripheral nerve,dorsal horn,afferent pathway,Pseudounipolar neuron,Nociception,First-order neuron
Dorsal stream,,"One of the two major visual processing pathways in the brain. Often referred to as the ""where"" pathway, it processes motion and spatial information.",Visual Pathways,where pathway,parietal stream,,,,,,,,,visual processing,spatial vision,parietal cortex,ventral stream,motion perception,Akinetopsia,Optic ataxia,Simultanagnosia
Downregulation,,"A decrease in the number or sensitivity of receptors in response to prolonged stimulation by a neurotransmitter or drug, reducing cellular response.",Down-Regulation,,,,,downregulation,downregulation,downregulation,downregulate,,,receptor,desensitization,upregulation,neurotransmitter,synaptic plasticity,Internalization,Tolerance,Agonist
Dualism,,"A philosophical position asserting that the mind and body are fundamentally distinct entities. In neuroscience, it contrasts with monistic and physicalist views of consciousness.",Mind-Body Relations,mind-body dualism,Cartesian dualism,,,,,,,,,consciousness,philosophy of mind,mind-body problem,materialism,monism,Physicalism,Neural Correlates of Consciousness,Qualia
Dynein,,"A motor protein that moves along microtubules in the cytoskeleton, transporting cellular cargo toward the center of the cell. In neurons, dynein is important for retrograde axonal transport.",Dyneins,,,,,,,,,,,motor protein,microtubule,axonal transport,retrograde transport,cytoskeleton,Kinesin,Dynactin,Axoneme
Dysarthria,,"A motor speech disorder resulting from impaired control of the muscles used in speech, often due to neurological damage to the brainstem or cerebellum.",Dysarthria,,,,,,,,,dysarthric,,speech disorder,motor control,brainstem,cerebellum,articulation,Ataxia,Basal Ganglia,Prosody
Dyskinesia,,"Involuntary, erratic, or repetitive movements, often associated with long-term use of dopaminergic drugs in Parkinson's disease.",Dyskinesias,,,,,,,dyskinesia,,dyskinetic,,movement disorder,Parkinson's disease,dopamine,involuntary movement,tardive dyskinesia,Basal ganglia,Levodopa,extrapyramidal system
Dyslexia,,"A neurodevelopmental disorder characterized by difficulty with accurate and/or fluent word recognition, often linked to deficits in phonological processing and left hemisphere brain function.",Dyslexia,reading disorder,,,,,,,,dyslexic,,reading disability,phonological processing,learning disorder,language processing,neurodevelopmental disorder,Arcuate fasciculus,Visual Word Form Area,Rapid automatized naming (RAN)
Dyspraxia,,"A developmental coordination disorder involving difficulty with motor planning and execution, affecting balance, fine motor tasks, and speech.",Apraxias,developmental coordination disorder,,,DCD,,,,,dyspraxic,,motor planning,motor coordination,apraxia,developmental disorder,motor skills,Cerebellum,Proprioception,Fine motor skills
Dendrites,,Dendrites are the part of the neuron that receive signals from other nerve cells.,Dendrites,,,,,,,,,,Dendritic,,Neurons,Synapses,Dendritic spines,Axons,Neurotransmission,Signal integration,Postsynaptic terminals,Soma
Dysautonomia,,"Dysautonomia happens when there is a problem in the autonomic nervous system, which controls involuntary functions like breathing, heartbeat, and blood pressure which normally happen without thinking.",Dysautonomia,Autonomic dysfunction,Autonomic neuropathy,,,,,Dysautonomia,,Dysautonomic,,Autonomic nervous system,Orthostatic hypotension,Postural tachycardia syndrome,Heart rate variability,Sympathetic nervous system,Parasympathetic nervous system,Baroreceptor reflex,Homeostasis
Dysgraphia,,Dysgraphia is a term used to describe a variety of challenges and disabilities related to writing.,Dysgraphia,Writing disorder,Impaired writing,,,,,Dysgraphia,,Dysgraphic,,Learning disability,Fine motor skills,Handwriting,Graphomotor function,Executive function,Spatial processing,Dyslexia,Language processing
Dysphagia,,Dysphagia is the medical term for difficulty swallowing.,Dysphagia,Swallowing disorder,Swallowing difficulty,Impaired swallowing,,,,Dysphagia,Swallow,Dysphagic,,Aspiration,Oropharyngeal dysphagia,Esophageal dysphagia,Cranial nerves,Brainstem,Deglutition,Stroke,Neuromuscular disorders
Dystonia,,Dystonia is a medical term for involuntary muscle contractions or flexing. It can cause slow repetitive movements or abnormal postures that can be painful.,Dystonia,Torsion dystonia,,,,,Dystonia,,Dystonic,Dystonically,Basal ganglia,Involuntary movements,Muscle contractions,Focal dystonia,Generalized dystonia,Cervical dystonia,Neurotransmitters,Motor control
EEG,,"A non-invasive method of recording electrical activity in the brain using electrodes placed on the scalp. It is commonly used to study sleep, epilepsy, and cognitive processes.",Electroencephalography,electroencephalography,,,EEG,,,,,,,brain activity,epilepsy,sleep,electrode,neurophysiology,Event-Related Potential (ERP),Neural Oscillations,Brain-Computer Interface (BCI)
Effector,,"A muscle, gland, or organ that performs an action in response to a neural signal, typically from the motor neuron.",,,,,,,,effector,,,,motor neuron,muscle,gland,motor response,efferent pathway,Neuromuscular Junction,Neurotransmitter,Innervation
Efferent nerve fiber,,An axon that carries motor signals away from the central nervous system to muscles or glands. Opposite of afferent nerve fiber.,Efferent Pathways,efferent fiber,motor fiber,,,,,,,efferent,,motor neuron,central nervous system,afferent nerve fiber,axon,motor pathway,Peripheral nervous system,Neuromuscular junction,Effector organ
Electroconvulsive therapy,,"A psychiatric treatment in which seizures are electrically induced in anesthetized patients for therapeutic effect, often used for treatment-resistant depression.",Electroconvulsive Therapy,,,,ECT,,,,,,,depression,seizure,psychiatric treatment,electroshock,anesthesia,Catatonia,Neuroplasticity,Amnesia
Electrode,,"A conductor used to detect or deliver electrical signals in neural recording or stimulation. Electrodes can be surface (non-invasive), intracranial, or implanted.",Electrodes,,,,,,,electrode,,,,neural recording,electrical stimulation,electrophysiology,brain-computer interface,neural interface,Microelectrode array (MEA),Deep Brain Stimulation (DBS),Local Field Potential (LFP)
Electromyography,,"A technique for recording the electrical activity produced by skeletal muscles, often used in neuromuscular diagnostics and motor control studies.",Electromyography,,,,EMG,,,,,,,muscle activity,motor control,neuromuscular,skeletal muscle,electrophysiology,Motor Unit Potential,Nerve Conduction Study,Motor Neuron
Electrophysiology,,"The study of the electrical properties of biological cells and tissues. In neuroscience, it often involves measuring voltage changes or currents in neurons.",Electrophysiology,,,,,,,,,electrophysiological,electrophysiologically,neuron,action potential,membrane potential,ion channel,patch clamp,Electroencephalography (EEG),Local Field Potential (LFP),Synaptic Potential
Endocannabinoid system,,"A neuromodulatory system composed of endocannabinoids, receptors (e.g., CB1), and enzymes. It regulates processes such as appetite, pain, mood, and memory.",Endocannabinoids,,,,ECS,,,,,,,CB1 receptor,neuromodulation,cannabinoid,anandamide,2-AG,Retrograde signaling,CB2 receptor,FAAH (Fatty acid amide hydrolase)
Endocrine system,,"A collection of glands that secrete hormones directly into the bloodstream. It interacts with the nervous system to regulate metabolism, stress, and growth.",Endocrine System,,,,,,,,,endocrine,,hormone,gland,nervous system,hypothalamus,pituitary gland,Neuroendocrine system,Homeostasis,HPA axis
Endogenous,,"Originating from within an organism, tissue, or cell. In neuroscience, it typically refers to naturally occurring neurotransmitters or signaling molecules.",,,,,,,,,,endogenous,endogenously,neurotransmitter,exogenous,endogenous opioid,signaling molecule,internal,Agonist,Neuromodulator,Receptor
Endorphins,,Endogenous opioid peptides that bind to opioid receptors and act as natural painkillers and mood enhancers.,Endorphins,,,,,,,endorphin,,,,opioid receptor,pain relief,endogenous opioid,beta-endorphin,analgesia,Enkephalin,Periaqueductal gray (PAG),Neuromodulator
Engram,,A theoretical physical trace or biological substrate of memory in the brain. The term is used in memory research to describe the neural changes underlying a specific memory.,Memory,memory trace,,,,,,engram,,,,memory,memory consolidation,synaptic plasticity,neuroplasticity,memory storage,Long-Term Potentiation,Cell Assembly,Memory Reconsolidation
Enteric nervous system,,"A subdivision of the autonomic nervous system that governs the function of the gastrointestinal system. Sometimes called the ""second brain.""",Enteric Nervous System,second brain,,,ENS,,,,,enteric,,autonomic nervous system,gastrointestinal,gut-brain axis,digestive system,intrinsic nervous system,Myenteric plexus,Submucosal plexus,Peristalsis
Epinephrine,,A hormone and neurotransmitter (also known as adrenaline) involved in the body's fight-or-flight response. Produced in the adrenal medulla.,Epinephrine,adrenaline,,,,,,,,,,neurotransmitter,fight-or-flight,adrenal medulla,stress response,sympathetic nervous system,Adrenergic receptor,Catecholamine,Norepinephrine
EPSP,,"A depolarizing event in a postsynaptic neuron caused by the influx of positive ions, making the neuron more likely to fire an action potential.",Excitatory Postsynaptic Potentials,excitatory postsynaptic potential,,,EPSP,,,,,,,depolarization,action potential,synapse,postsynaptic neuron,IPSP,Glutamate,Summation,NMDA receptor
Equilibrium potential,,The membrane potential at which there is no net flow of a particular ion across the cell membrane. It can be calculated using the Nernst equation.,,reversal potential,,,,,,,,,,membrane potential,Nernst equation,ion,electrochemical gradient,resting potential,Goldman-Hodgkin-Katz Equation,Ion selectivity,Driving Force
Estrogen,,"A steroid hormone that, in addition to reproductive functions, affects brain structure, cognition, and neuroprotection, particularly in areas such as the hippocampus.",Estrogens,,,,,oestrogen,estrogen,,,estrogenic,,hormone,hippocampus,neuroprotection,steroid hormone,cognition,Neuroplasticity,Estrogen receptor,Neuromodulator
Evoked potential,,"A measured electrical response of the nervous system to a specific sensory, motor, or cognitive stimulus, commonly recorded with EEG.",Evoked Potentials,,,,EP,,,,,,,EEG,stimulus,sensory response,neural response,electrophysiology,Event-Related Potential (ERP),Signal Averaging,Latency
Excitability,,The ability of a neuron or muscle cell to respond to a stimulus and generate an action potential.,,,,,,,,excitability,,excitable,,neuron,action potential,threshold,stimulus,membrane potential,Depolarization,Refractory Period,Ion Channel
Excitotoxicity,,"Cell death caused by excessive stimulation by neurotransmitters such as glutamate, leading to calcium overload and neuronal damage. It is implicated in stroke and neurodegenerative diseases.",,,,,,,,,,excitotoxic,,glutamate,neuronal death,calcium overload,stroke,neurodegeneration,Ischemia,NMDA receptor,Apoptosis
Executive function,,"A set of cognitive processes including working memory, flexible thinking, and self-control. Primarily associated with the prefrontal cortex.",Executive Function,,,,,,,,,,,prefrontal cortex,working memory,cognitive control,self-control,cognitive flexibility,Set-shifting,Planning,Dysexecutive Syndrome
Exocytosis,,"The process by which vesicles release their contents outside the cell. In neurons, it refers to the release of neurotransmitters into the synaptic cleft.",Exocytosis,,,,,,,exocytosis,,exocytic,,neurotransmitter release,synaptic vesicle,synaptic cleft,endocytosis,vesicle fusion,SNARE complex,Presynaptic terminal,Voltage-gated calcium channel
Extracellular matrix,,"A network of proteins and molecules outside cells that provides structural and biochemical support to surrounding cells. In the nervous system, it plays roles in synaptic plasticity and neural development.",Extracellular Matrix,,,,ECM,,,,,,,neural development,synaptic plasticity,cell adhesion,extracellular space,structural support,Perineuronal nets,Integrins,Glial scar
Encephalitis,,Encephalitis is inflammation of the brain.,Encephalitis,,,,,,,,,,,,,,,,,,
Encephalopathy,,"Encephalopathy is a broad term that refers to any disease or disorder that alters the brain's function or structure. The hallmark of encephalopathy is an altered mental state, which can range from confusion and memory loss to personality changes and coma.",Encephalopathy,,,,,,,,,,,,,,,,,,
Enzymes,,Enzymes are proteins that help speed up chemical reactions in the body (called metabolism).,Enzymes,,,,,,,,,,,,,,,,,,
Facial nerve,,"A cranial nerve that controls the muscles of facial expression, conveys taste sensations from the anterior two-thirds of the tongue, and carries parasympathetic fibers to salivary and lacrimal glands.",Facial Nerve,cranial nerve VII,CN VII,,CN VII,,,,,,,cranial nerve,facial expression,taste,parasympathetic,salivary gland,Bell's Palsy,Chorda tympani,Geniculate ganglion
Facilitation,,"A short-term increase in synaptic strength resulting from prior activity, due to residual calcium in the presynaptic terminal. It contributes to short-term plasticity and temporal coding.",Neuronal Plasticity,synaptic facilitation,neural facilitation,,,,,facilitation,facilitate,,,synaptic plasticity,presynaptic terminal,calcium,short-term plasticity,temporal summation,Paired-pulse facilitation,Synaptic depression,Vesicle release probability
Fear conditioning,,A form of associative learning in which a neutral stimulus becomes associated with an aversive event. It is often used to study emotional memory and the role of the amygdala.,"Conditioning, Classical",classical fear conditioning,Pavlovian fear conditioning,,,,,,,,,amygdala,associative learning,emotional memory,conditioned response,aversive learning,Fear extinction,Hippocampus,Long-term potentiation
Fiber tract,,"A bundle of axons in the central nervous system that connects different brain regions. Examples include the corpus callosum, optic tract, and corticospinal tract.",Nerve Fibers,white matter tract,neural pathway,,,,,,,,,axon,white matter,corpus callosum,central nervous system,neural connectivity,Tractography,Myelin,Commissural fibers
Field potential,,"An electrical potential recorded from a population of neurons, often reflecting the summed synaptic input to a region. Measured using electroencephalography or implanted electrodes.",Evoked Potentials,local field potential,,,LFP,,,,,,,electroencephalography,synaptic activity,neural population,electrophysiology,extracellular recording,Spike-triggered average,Event-Related Potential,Neural Oscillations
Fight-or-flight response,,"A physiological reaction to perceived threat or danger, involving the sympathetic nervous system and hormones such as epinephrine and cortisol.","Stress, Physiological",acute stress response,,,,,,,,,,sympathetic nervous system,epinephrine,stress response,cortisol,adrenal gland,Amygdala,HPA axis,Parasympathetic nervous system
Forebrain,,"The largest part of the brain, consisting of the cerebrum, thalamus, and hypothalamus. It is involved in complex behaviors, emotion, and cognition.",Prosencephalon,,,,,,,,,,,cerebrum,thalamus,hypothalamus,telencephalon,diencephalon,,,
Fornix,,A C-shaped bundle of white matter fibers that connects the hippocampus to the hypothalamus and other structures in the limbic system. Important for memory and emotional regulation.,"Fornix, Brain",,,,,,,fornix,,,,hippocampus,limbic system,hypothalamus,memory,white matter,Papez circuit,Mammillary bodies,Septal nuclei
Free nerve ending,,"A type of unencapsulated nerve ending that detects pain, temperature, and crude touch. These are the most common type of cutaneous receptors.",Nerve Endings,,,,,,,,,,,nociception,pain,temperature sensation,sensory receptor,cutaneous receptor,Nociceptor,Somatosensory system,Aδ fiber
Frontal lobe,,"A region of the cerebral cortex involved in decision-making, planning, motor function, problem-solving, and aspects of personality. Located at the front of each cerebral hemisphere.",Frontal Lobe,,,,,,,,,frontal,frontally,cerebral cortex,executive function,motor cortex,prefrontal cortex,decision-making,Broca's area,Working memory,Frontal lobe syndrome
Frontal eye fields,,A region in the frontal lobe involved in voluntary eye movements and visual attention. It plays a role in saccadic control and visual tracking.,Frontal Lobe,,,,FEF,,,,,,,eye movement,saccade,visual attention,frontal lobe,oculomotor control,Brodmann area 8,Superior colliculus,Smooth pursuit
Functional connectivity,,"A measure of how different brain regions interact during rest or tasks, often assessed using fMRI or EEG by examining correlations in activity over time.",Connectome,,,,,,,,,,,fMRI,brain connectivity,neural network,resting state,brain mapping,Effective connectivity,Structural connectivity,Default Mode Network
Functional magnetic resonance imaging,,A neuroimaging technique that measures brain activity by detecting changes in blood oxygenation (BOLD signal). It is used to study brain function in real time.,Magnetic Resonance Imaging,,,,fMRI,,,,,,,BOLD signal,neuroimaging,brain activity,blood oxygenation,brain mapping,Hemodynamic response,General Linear Model (GLM),Neurovascular coupling
Fusiform gyrus,,"A brain region located in the temporal and occipital lobes involved in high-level visual processing, including facial recognition and object categorization.",Temporal Lobe,,,,,,,,,,,visual processing,facial recognition,object recognition,temporal lobe,occipital lobe,Prosopagnosia,Fusiform Face Area,Ventral stream
Fusiform face area,,A specialized part of the fusiform gyrus that responds selectively to faces. It is often studied in the context of prosopagnosia (face blindness) and visual expertise.,Temporal Lobe,FFA,,,FFA,,,,,,,fusiform gyrus,facial recognition,face perception,prosopagnosia,visual cortex,Occipital face area,Ventral stream,Configural processing
Fasciculations,,Fasciculations is the medical term for twitching muscles.,Fasciculations,,,,,,,,,,,,,,,,,,,
Fibromuscular dysplasia (FMD),,The abnormal development or growth of cells in the walls of arteries that can cause the vessels to narrow or bulge.,Fibromuscular dysplasia,,,,FMD,,,,,,,,,,,,,,,
GABA,,"The primary inhibitory neurotransmitter in the central nervous system. It reduces neuronal excitability and is involved in sleep, anxiety, and motor control.",gamma-Aminobutyric Acid,gamma-aminobutyric acid,,,GABA,,,,,,,inhibitory neurotransmitter,central nervous system,neuronal excitability,anxiety,sleep,motor control,GABAergic,GABA receptor
Gag reflex,,"A protective reflex that prevents choking, triggered by stimulation of the back of the throat. It involves cranial nerves IX and X and is used to assess brainstem function.",Reflex,pharyngeal reflex,,,,,,,,,,cranial nerve,brainstem,protective reflex,glossopharyngeal nerve,vagus nerve,choking,pharynx,
Ganglion,,A cluster of neuronal cell bodies located outside the central nervous system. Examples include the dorsal root ganglia and autonomic ganglia.,Ganglia,,,,,,,,,,,neuron,cell body,peripheral nervous system,dorsal root ganglion,autonomic ganglion,sensory neuron,sympathetic ganglion,
Gap junction,,A direct electrical connection between adjacent neurons or glial cells formed by connexin proteins. Gap junctions allow ions and small molecules to pass rapidly between cells.,Gap Junctions,electrical synapse,,,,,,,,,,connexin,electrical coupling,intercellular communication,glia,neuron,ion channel,electrical synapse,cell-cell communication
Gene knockout,,"A genetic technique used to inactivate or ""knock out"" a specific gene in an organism to study its function. Widely used in neuroscience to explore gene roles in brain development and behavior.",Gene Knockout Techniques,gene deletion,,,,,,,,,,genetic engineering,gene function,mouse model,CRISPR,behavioral genetics,neurodevelopment,molecular biology,
Genetic predisposition,,"An increased likelihood of developing a particular disease based on an individual's genetic makeup. In neuroscience, it is relevant to conditions like schizophrenia and Alzheimer's disease.",Genetic Predisposition to Disease,genetic susceptibility,hereditary risk,,,,,,,,,genetics,heritability,risk factor,schizophrenia,Alzheimer's disease,genetic variation,family history,
Geniculate body,,A relay structure in the thalamus. The lateral geniculate body is involved in visual processing; the medial geniculate body is involved in auditory processing.,Geniculate Bodies,geniculate nucleus,,,,,,,,,,thalamus,visual processing,auditory processing,lateral geniculate nucleus,medial geniculate nucleus,sensory relay,LGN,MGN
Gephyrin,,A scaffolding protein that anchors inhibitory neurotransmitter receptors (GABA and glycine) at postsynaptic sites. Essential for synapse formation and stability.,Membrane Proteins,gephyrin protein,,,,,,,,,,scaffolding protein,synapse,GABA receptor,glycine receptor,postsynaptic density,inhibitory synapse,synaptic anchoring,
Glia,,"Non-neuronal cells in the nervous system that support, nourish, and protect neurons. Types include astrocytes, oligodendrocytes, microglia, and Schwann cells.",Neuroglia,glial cells,,,,,,,,glial,,astrocyte,oligodendrocyte,microglia,Schwann cell,support cells,nervous system,neuron support,myelin
Glia limitans,,A thin layer of astrocytic endfeet beneath the pia mater that forms part of the barrier separating the brain parenchyma from the cerebrospinal fluid.,Neuroglia,,,,,,,,,,,astrocyte,blood-brain barrier,pia mater,cerebrospinal fluid,brain barrier,glial endfoot,CNS border,
Glial scar,,"A dense accumulation of glial cells, particularly astrocytes, that forms after central nervous system injury. It helps contain damage but can also inhibit axonal regeneration.",Gliosis,reactive gliosis,,,,,,,,,,astrocyte,CNS injury,axonal regeneration,neuroinflammation,brain injury,scar tissue,reactive astrocyte,glial activation
Glioblastoma,,A highly aggressive and malignant brain tumor arising from glial cells. It is the most common primary brain cancer in adults and often has a poor prognosis.,Glioblastoma,glioblastoma multiforme,GBM,,GBM,,,,,,,brain tumor,brain cancer,glia,malignant tumor,astrocytoma,neoplasm,oncology,WHO grade IV
Glucocorticoid,,A class of steroid hormones released by the adrenal cortex in response to stress. They influence metabolism and have significant effects on memory and the hippocampus.,Glucocorticoids,,,,,,,,,,,steroid hormone,stress,cortisol,adrenal cortex,hippocampus,memory,HPA axis,stress response
Glutamate,,"The main excitatory neurotransmitter in the brain. It is essential for learning, memory, and synaptic plasticity, but excessive levels can cause excitotoxicity.",Glutamic Acid,,,,,,,,,,,excitatory neurotransmitter,neurotransmitter,synaptic plasticity,learning,memory,excitotoxicity,NMDA receptor,glutamatergic
Glutamatergic,,Describes neurons or synapses that use glutamate as a neurotransmitter. These are the majority of excitatory synapses in the brain.,Glutamic Acid,,,,,,,,,,,glutamate,excitatory synapse,neurotransmitter,excitatory neuron,synaptic transmission,neuronal signaling,,
Glycine,,An inhibitory neurotransmitter found primarily in the spinal cord and brainstem. It acts via glycine receptors and contributes to motor control and reflexes.,Glycine,,,,,,,,,,,inhibitory neurotransmitter,spinal cord,brainstem,glycine receptor,motor control,reflex,neurotransmitter,
Golgi cell,,A type of inhibitory interneuron in the cerebellum that regulates input from mossy fibers to granule cells via GABA release.,Purkinje Cells,,,,,,,,,,,cerebellum,interneuron,GABA,granule cell,mossy fiber,inhibitory neuron,cerebellar cortex,
Golgi stain,,"A silver staining method that randomly labels a small subset of neurons in their entirety, allowing detailed study of neuronal morphology.",Silver Staining,Golgi method,Golgi-Cox stain,,,,,,,,,histology,neuronal morphology,silver staining,neuron structure,Camillo Golgi,staining technique,microscopy,
G-protein-coupled receptor,,"A large family of membrane receptors that activate intracellular signaling pathways through G-proteins. GPCRs are critical in neurotransmission, hormone signaling, and sensory perception.","Receptors, G-Protein-Coupled",GPCR,,,GPCR,,,,,,,receptor,G-protein,signal transduction,neurotransmission,membrane protein,second messenger,metabotropic receptor,7-transmembrane receptor
Granule cell,,"A small neuron found in the cerebellum, olfactory bulb, and dentate gyrus of the hippocampus. Granule cells play important roles in sensory and motor information processing.",Neurons,,,,,,,,,,,cerebellum,hippocampus,dentate gyrus,olfactory bulb,neuron,granular layer,excitatory neuron,
Granulomatosis with polyangiitis,,"An autoimmune disease that can affect the central nervous system, sometimes causing neuropathy, headaches, or stroke-like symptoms due to vascular inflammation.",Granulomatosis with Polyangiitis,Wegener's granulomatosis,,,GPA,,,,,,,autoimmune disease,vasculitis,CNS,neuropathy,inflammation,vascular disease,,
Grasp reflex,,A primitive reflex seen in infants where touching the palm induces the hand to close. Persistence in adults may indicate frontal lobe damage.,Reflex,palmar grasp reflex,,,,,,,,,,primitive reflex,infant reflex,frontal lobe,motor reflex,neurological examination,hand,,
Gray matter,,"Brain tissue composed primarily of neuronal cell bodies, dendrites, and unmyelinated axons. It is responsible for information processing and synaptic transmission.",Gray Matter,grey matter,,,,grey matter,gray matter,,,,,neuron,cell body,dendrite,cortex,information processing,synaptic transmission,unmyelinated axon,CNS
Growth cone,,"A dynamic, motile structure at the tip of a developing axon or dendrite that guides neuronal growth by sensing molecular cues in the environment.",Growth Cones,,,,,,,,,,,axon,dendrite,neuronal development,axon guidance,neurodevelopment,pathfinding,growth factor,actin
Growth factor,,"A naturally occurring protein that stimulates cell growth, differentiation, and survival. Examples include BDNF, NGF, and EGF in neural development and repair.",Intercellular Signaling Peptides and Proteins,,,,,,,,,,,BDNF,NGF,protein,cell growth,neural development,neuroprotection,cell differentiation,neurotrophic factor
Gustatory cortex,,"The brain area responsible for processing taste information, primarily located in the insular and frontal opercular regions.",Taste,primary gustatory cortex,,,,,,,,,,taste,insula,frontal operculum,sensory cortex,gustation,taste perception,insular cortex,
Gyri,,The raised ridges or folds of the cerebral cortex. They increase the brain's surface area and are separated by sulci (grooves).,Cerebral Cortex,gyrus,cortical folds,,,,,gyrus,,,,cerebral cortex,brain,sulcus,cortical folding,surface area,gyrification,brain anatomy,
Gyrification,,"The process by which the cerebral cortex develops folds (gyri) and grooves (sulci) during brain development. Gyrification increases the surface area of the brain, allowing for greater cognitive capacity within the limited volume of the skull.",Cerebral Cortex,cortical folding,,,,,,,,,,cerebral cortex,brain development,gyrus,sulcus,cortical development,surface area,neurogenesis,cortical expansion
Habituation,,"A form of non-associative learning in which an organism decreases or ceases its responses to a repetitive, harmless stimulus over time.","Habituation, Psychophysiologic",,,,,,,habituation,habituate,,,learning,sensory adaptation,stimulus,behavioral response,desensitization,,,
Hallucination,,"A perception in the absence of external stimulus, such as hearing voices or seeing things that are not present. Common in conditions like schizophrenia or sensory deprivation.",Hallucinations,,,,,,,hallucination,hallucinate,hallucinatory,,schizophrenia,psychosis,sensory deprivation,perception,auditory hallucination,visual hallucination,,
Hemispheres of the brain,,The two symmetrical halves of the brain—left and right—that control opposite sides of the body. Each hemisphere has specialized functions but works in coordination with the other.,Functional Laterality,cerebral hemispheres,brain hemispheres,,,,,hemisphere,,hemispheric,,lateralization,corpus callosum,cerebral cortex,left hemisphere,right hemisphere,contralateral control,,
Hemispatial neglect,,"A neuropsychological condition in which a person fails to attend to one side of space, usually the left, following damage to the right parietal lobe.",Perceptual Disorders,spatial neglect,unilateral neglect,hemi-inattention,,,,neglect,,,,parietal lobe,attention,spatial awareness,stroke,right hemisphere,visual field,,
Hering's law of equal innervation,,A principle in ocular motor control stating that yoked eye muscles receive equal neural signals to maintain coordinated binocular eye movements.,,,,,,,,,,,,ocular motor control,eye movement,binocular vision,extraocular muscles,neural innervation,gaze coordination,,
Hertz,,"A unit of frequency equal to one cycle per second. Used in neuroscience to describe brain wave activity, neural firing rates, and oscillations.",,,,,Hz,,,,,,,frequency,brain waves,neural oscillations,action potential,EEG,firing rate,,
Hindbrain,,"The posterior part of the brain, including the medulla oblongata, pons, and cerebellum. It regulates vital autonomic functions and coordinates movement.",Rhombencephalon,rhombencephalon,,,,,,,,,,medulla oblongata,pons,cerebellum,brainstem,autonomic function,motor coordination,,
Hippocampus,,"A brain structure located in the medial temporal lobe, critical for memory formation, spatial navigation, and learning. Damage is associated with anterograde amnesia.",Hippocampus,,,,,,,hippocampus,,hippocampal,,memory formation,spatial navigation,temporal lobe,learning,anterograde amnesia,declarative memory,place cells,neurogenesis
Histamine,,"A neurotransmitter involved in arousal, wakefulness, and inflammatory responses. Histaminergic neurons are primarily located in the hypothalamus.",Histamine,,,,,,,histamine,,histaminergic,,neurotransmitter,arousal,wakefulness,hypothalamus,inflammation,histamine receptor,,
